ID	Aligned Bases	Reference bases	% Aligned Bases
AA7740-ST10.R1.fastq.gz.out	4253516	4643559	91.6
AA8187-ST10.R1.fastq.gz.out	4277533	4643559	92.12
AA8189-ST10.R1.fastq.gz.out	4304268	4643559	92.69
AA8199-ST10.R1.fastq.gz.out	4294175	4643559	92.48
AA8214-ST10.R1.fastq.gz.out	4255613	4643559	91.65
AA8235-ST10.R1.fastq.gz.out	4283571	4643559	92.25
AA8407-ST10.R1.fastq.gz.out	4352197	4643559	93.73
BA1139-ST10.R1.fastq.gz.out	4086113	4643559	88
BA1875-ST215.R1.fastq.gz.out	4263800	4643559	91.82
BA1881-ST48.R1.fastq.gz.out	4292422	4643559	92.44
BA1897-ST10.R1.fastq.gz.out	4348859	4643559	93.65
BA1901-ST48.R1.fastq.gz.out	4208601	4643559	90.63
BA2119-ST10.R1.fastq.gz.out	4221386	4643559	90.91
BA2153-ST10.R1.fastq.gz.out	4277243	4643559	92.11
BA2163-ST10.R1.fastq.gz.out	4335510	4643559	93.37
BA2501-ST44.R1.fastq.gz.out	4225751	4643559	91
BA2515-ST10.R1.fastq.gz.out	4270361	4643559	91.96
BA2691-ST10.R1.fastq.gz.out	4257590	4643559	91.69
BA4530-ST10.R1.fastq.gz.out	4242278	4643559	91.36
BA4548-ST10.R1.fastq.gz.out	4360033	4643559	93.89
BA4758-ST48.R1.fastq.gz.out	4185613	4643559	90.14
BA4762-ST10.R1.fastq.gz.out	4230989	4643559	91.12
BA4764-ST10.R1.fastq.gz.out	4243214	4643559	91.38
BA4907-ST10.R1.fastq.gz.out	4295830	4643559	92.51
BA5046-ST10.R1.fastq.gz.out	4312438	4643559	92.87
BA5066-ST167.R1.fastq.gz.out	4190133	4643559	90.24
BA5134-ST48.R1.fastq.gz.out	4066776	4643559	87.58
BA5186-ST10.R1.fastq.gz.out	4301028	4643559	92.62
BA5238-ST10.R1.fastq.gz.out	4236492	4643559	91.23
BA5312-ST10.R1.fastq.gz.out	4260723	4643559	91.76
BA5361-ST10.R1.fastq.gz.out	4276793	4643559	92.1
BA5404-ST10.R1.fastq.gz.out	4217865	4643559	90.83
BA5408-ST167.R1.fastq.gz.out	4286890	4643559	92.32
BA5444-ST10.R1.fastq.gz.out	4262211	4643559	91.79
BA8169-ST10.R1.fastq.gz.out	4329461	4643559	93.24
BA8186-ST10.R1.fastq.gz.out	4331244	4643559	93.27
BA8187-ST10.R1.fastq.gz.out	4306679	4643559	92.75
BA8203-ST10.R1.fastq.gz.out	4315754	4643559	92.94
BA8237-ST10.R1.fastq.gz.out	4301434	4643559	92.63
BA8313-ST48.R1.fastq.gz.out	4264835	4643559	91.84
BA8386-ST10.R1.fastq.gz.out	4284712	4643559	92.27
BA8426-ST10.R1.fastq.gz.out	4299702	4643559	92.59
BA8561-ST10.R1.fastq.gz.out	4331458	4643559	93.28
BA8581-ST43.R1.fastq.gz.out	4217592	4643559	90.83
BA8595-ST10.R1.fastq.gz.out	4314813	4643559	92.92
BA8599-ST10.R1.fastq.gz.out	4312962	4643559	92.88
BA8642-ST10.R1.fastq.gz.out	4349924	4643559	93.68
BA8649-ST10.R1.fastq.gz.out	4286092	4643559	92.3
BA8651-ST10.R1.fastq.gz.out	4356736	4643559	93.82
BA8659-ST43.R1.fastq.gz.out	4305434	4643559	92.72
BA8662-ST218.R1.fastq.gz.out	4271054	4643559	91.98
BA8665-ST34.R1.fastq.gz.out	4312378	4643559	92.87
BA8666-ST48.R1.fastq.gz.out	4191928	4643559	90.27
BA8667-ST48.R1.fastq.gz.out	3730124	4643559	80.33
BA8671-ST48.R1.fastq.gz.out	4191208	4643559	90.26
BA8672-ST48.R1.fastq.gz.out	4048007	4643559	87.17
BA8695-ST48.R1.fastq.gz.out	4162679	4643559	89.64
BA8710-ST48.R1.fastq.gz.out	4070215	4643559	87.65
BA9127-ST10.R1.fastq.gz.out	4254437	4643559	91.62
BA9147-ST10.R1.fastq.gz.out	4396230	4643559	94.67
BA9160-ST10.R1.fastq.gz.out	4296580	4643559	92.53
BA9167-ST10.R1.fastq.gz.out	4312011	4643559	92.86
BA9188-ST10.R1.fastq.gz.out	4296147	4643559	92.52
BA9192-ST10.R1.fastq.gz.out	4321877	4643559	93.07
BA9196-ST10.R1.fastq.gz.out	4369421	4643559	94.1
BA9207-ST10.R1.fastq.gz.out	4345927	4643559	93.59
BA9211-ST10.R1.fastq.gz.out	4305584	4643559	92.72
BA9265-ST43.R1.fastq.gz.out	4300947	4643559	92.62
BA9305-ST10.R1.fastq.gz.out	4328478	4643559	93.21
CA2839-ST10.R1.fastq.gz.out	4363079	4643559	93.96
CA3748-ST10.R1.fastq.gz.out	4276917	4643559	92.1
CA3826-ST10.R1.fastq.gz.out	4241587	4643559	91.34
CA3831-ST10.R1.fastq.gz.out	4211191	4643559	90.69
CA3832-ST34.R1.fastq.gz.out	4193397	4643559	90.31
CA6014-ST10.R1.fastq.gz.out	4307502	4643559	92.76
CA6996-ST10.R1.fastq.gz.out	4320170	4643559	93.04
DA0861-ST48.R1.fastq.gz.out	4180302	4643559	90.02
DA1093-ST10.R1.fastq.gz.out	4309996	4643559	92.82
DA1134-ST167.R1.fastq.gz.out	4327272	4643559	93.19
DA4285-ST10.R1.fastq.gz.out	4318143	4643559	92.99
DA4286-ST10.R1.fastq.gz.out	4286556	4643559	92.31
DA4899-ST167.R1.fastq.gz.out	4287265	4643559	92.33
DA5023-ST10.R1.fastq.gz.out	4311155	4643559	92.84
DA5282-ST10.R1.fastq.gz.out	4272550	4643559	92.01
DA5328-ST10.R1.fastq.gz.out	4331665	4643559	93.28
DA5379-ST10.R1.fastq.gz.out	4339805	4643559	93.46
DA5390-ST10.R1.fastq.gz.out	4283126	4643559	92.24
DA5391-ST10.R1.fastq.gz.out	4347901	4643559	93.63
DA5425-ST10.R1.fastq.gz.out	4257987	4643559	91.7
DA6913-ST10.R1.fastq.gz.out	4270369	4643559	91.96
DA9581-ST10.R1.fastq.gz.out	4269361	4643559	91.94
EA1035-ST10.R1.fastq.gz.out	4313459	4643559	92.89
EA1065-ST10.R1.fastq.gz.out	4337557	4643559	93.41
EA1616-ST10.R1.fastq.gz.out	4313937	4643559	92.9
EA1678-ST10.R1.fastq.gz.out	4328168	4643559	93.21
EA1700-ST34.R1.fastq.gz.out	4285645	4643559	92.29
EA1882-ST43.R1.fastq.gz.out	4302749	4643559	92.66
EA2115-ST10.R1.fastq.gz.out	4340183	4643559	93.47
EA2177-ST10.R1.fastq.gz.out	4350294	4643559	93.68
EA2298-ST10.R1.fastq.gz.out	4307148	4643559	92.76
EA2339-ST10.R1.fastq.gz.out	4307427	4643559	92.76
EA2341-ST10.R1.fastq.gz.out	4297355	4643559	92.54
EA2344-ST10.R1.fastq.gz.out	4166074	4643559	89.72
EA2365-ST10.R1.fastq.gz.out	4350453	4643559	93.69
EA2440-ST10.R1.fastq.gz.out	4318889	4643559	93.01
EA2442-ST10.R1.fastq.gz.out	4290154	4643559	92.39
EA2448-ST10.R1.fastq.gz.out	4302193	4643559	92.65
EA2449-ST10.R1.fastq.gz.out	4273567	4643559	92.03
EA2452-ST10.R1.fastq.gz.out	4302851	4643559	92.66
EA2453-ST10.R1.fastq.gz.out	4339830	4643559	93.46
EA2473-ST10.R1.fastq.gz.out	4219691	4643559	90.87
EA2602-ST10.R1.fastq.gz.out	4309196	4643559	92.8
EA2622-ST10.R1.fastq.gz.out	4301960	4643559	92.64
EA2623-ST43.R1.fastq.gz.out	4334664	4643559	93.35
EA2635-ST10.R1.fastq.gz.out	4085723	4643559	87.99
EA2636-ST43.R1.fastq.gz.out	4109723	4643559	88.5
EA2754-ST10.R1.fastq.gz.out	4341766	4643559	93.5
EA2765-ST34.R1.fastq.gz.out	4282886	4643559	92.23
EA2767-ST10.R1.fastq.gz.out	4218788	4643559	90.85
EA2768-ST218.R1.fastq.gz.out	4284173	4643559	92.26
EA2788-ST10.R1.fastq.gz.out	4281383	4643559	92.2
EA2789-ST10.R1.fastq.gz.out	4299997	4643559	92.6
EA2816-ST10.R1.fastq.gz.out	4242681	4643559	91.37
EA2826-ST10.R1.fastq.gz.out	4258977	4643559	91.72
EA2908-ST48.R1.fastq.gz.out	4272986	4643559	92.02
EA2911-ST48.R1.fastq.gz.out	4230285	4643559	91.1
EA2914-ST10.R1.fastq.gz.out	4295342	4643559	92.5
EA2948-ST44.R1.fastq.gz.out	4224048	4643559	90.97
EA3079-ST10.R1.fastq.gz.out	4332245	4643559	93.3
EA3105-ST10.R1.fastq.gz.out	4325921	4643559	93.16
EA3106-ST10.R1.fastq.gz.out	4309462	4643559	92.81
EA3114-ST10.R1.fastq.gz.out	4280561	4643559	92.18
EA3116-ST10.R1.fastq.gz.out	4262734	4643559	91.8
EA4113-ST10.R1.fastq.gz.out	4327387	4643559	93.19
EA4120-ST43.R1.fastq.gz.out	4024380	4643559	86.67
EA4121-ST10.R1.fastq.gz.out	3859967	4643559	83.13
EA4122-ST43.R1.fastq.gz.out	4287978	4643559	92.34
EA4124-ST43.R1.fastq.gz.out	4311913	4643559	92.86
EA4131-ST43.R1.fastq.gz.out	4285617	4643559	92.29
EA4245-ST10.R1.fastq.gz.out	4375806	4643559	94.23
EA4603-ST10.R1.fastq.gz.out	4269406	4643559	91.94
EA4638-ST43.R1.fastq.gz.out	4303960	4643559	92.69
EA4641-ST43.R1.fastq.gz.out	4274621	4643559	92.05
EA4700-ST48.R1.fastq.gz.out	4157664	4643559	89.54
EA4704-ST10.R1.fastq.gz.out	4330037	4643559	93.25
EA4705-ST10.R1.fastq.gz.out	4338174	4643559	93.42
EA4709-ST10.R1.fastq.gz.out	4289757	4643559	92.38
EA4712-ST34.R1.fastq.gz.out	4267518	4643559	91.9
EA4717-ST10.R1.fastq.gz.out	4310104	4643559	92.82
EA4722-ST48.R1.fastq.gz.out	4187525	4643559	90.18
EA4725-ST34.R1.fastq.gz.out	4240368	4643559	91.32
EA4731-ST10.R1.fastq.gz.out	4332835	4643559	93.31
EA5055-ST10.R1.fastq.gz.out	4290892	4643559	92.41
EA5890-ST10.R1.fastq.gz.out	4342919	4643559	93.53
EA5933-ST10.R1.fastq.gz.out	4343634	4643559	93.54
EA6205-ST10.R1.fastq.gz.out	4318216	4643559	92.99
EA6249-ST34.R1.fastq.gz.out	4250983	4643559	91.55
EA6261-ST10.R1.fastq.gz.out	4371245	4643559	94.14
EA6273-ST10.R1.fastq.gz.out	4307764	4643559	92.77
EA6284-ST10.R1.fastq.gz.out	4321015	4643559	93.05
EA8414-ST10.R1.fastq.gz.out	4306020	4643559	92.73
EA8444-ST10.R1.fastq.gz.out	4327238	4643559	93.19
EA8458-ST10.R1.fastq.gz.out	4295893	4643559	92.51
F2_11B-ST218.R1.fastq.gz.out	4218698	4643559	90.85
F2_14A-ST10.R1.fastq.gz.out	4273895	4643559	92.04
F2_15C-ST10.R1.fastq.gz.out	4293153	4643559	92.45
F2_15F-ST10.R1.fastq.gz.out	4220986	4643559	90.9
F2_15G-ST10.R1.fastq.gz.out	4152487	4643559	89.42
F2_16A-ST48.R1.fastq.gz.out	4253253	4643559	91.59
F2_16D-ST48.R1.fastq.gz.out	4210350	4643559	90.67
F2_18B-ST10.R1.fastq.gz.out	4252808	4643559	91.59
F2_1A-ST48.R1.fastq.gz.out	4045290	4643559	87.12
F2_20B-ST10.R1.fastq.gz.out	4276479	4643559	92.09
F2_20E-ST48.R1.fastq.gz.out	4199685	4643559	90.44
F2_2D-ST48.R1.fastq.gz.out	4072679	4643559	87.71
F2_2E-ST10.R1.fastq.gz.out	4252985	4643559	91.59
F2_4A-ST218.R1.fastq.gz.out	4220810	4643559	90.9
F2_4C-ST10.R1.fastq.gz.out	4233989	4643559	91.18
F2_5C-ST218.R1.fastq.gz.out	4220939	4643559	90.9
F2_5D-ST48.R1.fastq.gz.out	4099068	4643559	88.27
F2_6A-ST10.R1.fastq.gz.out	4162687	4643559	89.64
F2_8A-ST218.R1.fastq.gz.out	4213834	4643559	90.75
F2_9B-ST10.R1.fastq.gz.out	4205306	4643559	90.56
FA5671-ST48.R1.fastq.gz.out	4300191	4643559	92.61
FA5672-ST10.R1.fastq.gz.out	4294492	4643559	92.48
FA5673-ST10.R1.fastq.gz.out	4315547	4643559	92.94
FA6108-ST167.R1.fastq.gz.out	4297996	4643559	92.56
FA6111-ST167.R1.fastq.gz.out	4252688	4643559	91.58
FA6113-ST167.R1.fastq.gz.out	4297641	4643559	92.55
FA6114-ST167.R1.fastq.gz.out	4297871	4643559	92.56
FA6115-ST167.R1.fastq.gz.out	4298169	4643559	92.56
FA6117-ST167.R1.fastq.gz.out	4285511	4643559	92.29
FA7699-ST10.R1.fastq.gz.out	4296220	4643559	92.52
FA7770-ST10.R1.fastq.gz.out	4223544	4643559	90.95
FA8029-ST10.R1.fastq.gz.out	4290288	4643559	92.39
FA8851-ST48.R1.fastq.gz.out	4233215	4643559	91.16
FA8854-ST10.R1.fastq.gz.out	4277979	4643559	92.13
FA8855-ST34.R1.fastq.gz.out	4239960	4643559	91.31
FA8856-ST34.R1.fastq.gz.out	4203866	4643559	90.53
FA9034-ST10.R1.fastq.gz.out	4170820	4643559	89.82
